Date	TSLA	^GSPC	AMC	RIVN	LCID	XPEV	LI	PTRA	F	GM	TWTR	TGT	SVNDY	EMR	GRMN	DHR	NUE	NSANY	TM	HMC
2022-01-25	918.4000244140625	4356.4501953125	16.020000457763672	59.61000061035156	35.459999084472656	38.0099983215332	25.43000030517578	7.349999904632568	19.979999542236328	51.900001525878906	34.16999816894531	214.67999267578125	23.729999542236328	91.20999908447266	121.37000274658203	271.20001220703125	94.19000244140625	10.600000381469727	197.00999450683594	29.81999969482422
2022-01-26	937.4099731445312	4349.93017578125	15.9399995803833	60.27000045776367	33.40999984741211	37.29999923706055	25.09000015258789	7.360000133514404	19.90999984741211	52.349998474121094	33.619998931884766	211.7100067138672	23.270000457763672	90.58000183105469	120.5199966430664	266.7699890136719	93.04000091552734	10.520000457763672	194.1699981689453	29.360000610351562
2022-01-27	829.0999755859375	4326.509765625	14.520000457763672	53.939998626708984	28.700000762939453	32.61000061035156	23.450000762939453	6.889999866485596	19.549999237060547	51.45000076293945	33.84000015258789	212.17999267578125	23.350000381469727	90.62999725341797	118.86000061035156	269.9700012207031	96.73999786376953	10.420000076293945	189.9600067138672	28.989999771118164
2022-01-28	846.3499755859375	4431.85009765625	15.0600004196167	57.119998931884766	27.149999618530273	32.150001525878906	23.969999313354492	7.150000095367432	19.540000915527344	50.2400016784668	35.27000045776367	217.6699981689453	23.469999313354492	90.70999908447266	121.25	281.1099853515625	99.79000091552734	10.350000381469727	193.1300048828125	29.0
2022-01-31	936.719970703125	4515.5498046875	16.059999465942383	65.73999786376953	29.389999389648438	35.09000015258789	26.09000015258789	7.909999847412109	20.299999237060547	52.72999954223633	37.5099983215332	220.42999267578125	25.790000915527344	91.94999694824219	124.41999816894531	285.7900085449219	101.4000015258789	10.579999923706055	198.4499969482422	29.549999237060547
2022-02-01	931.25	4546.5400390625	16.860000610351562	69.62000274658203	29.959999084472656	36.400001525878906	27.290000915527344	8.010000228881836	20.65999984741211	54.06999969482422	38.119998931884766	219.22999572753906	25.399999618530273	92.4800033569336	125.36000061035156	287.2900085449219	107.45999908447266	10.380000114440918	196.42999267578125	29.18000030517578
2022-02-02	905.6599731445312	4589.3798828125	15.420000076293945	64.31999969482422	27.68000030517578	35.79999923706055	27.5	7.71999979019165	20.6299991607666	53.5	36.5099983215332	217.61000061035156	25.469999313354492	97.55999755859375	127.2300033569336	294.42999267578125	111.9800033569336	10.670000076293945	199.66000366210938	29.770000457763672
2022-02-03	891.1400146484375	4477.43994140625	14.869999885559082	60.36000061035156	26.950000762939453	34.52000045776367	26.829999923706055	7.449999809265137	19.889999389648438	53.11000061035156	34.47999954223633	213.22000122070312	25.709999084472656	96.58999633789062	125.0999984741211	289.9100036621094	112.25	10.619999885559082	199.52999877929688	29.850000381469727
2022-02-04	923.3200073242188	4500.52978515625	15.350000381469727	60.869998931884766	27.549999237060547	37.25	28.700000762939453	7.710000038146973	17.959999084472656	51.290000915527344	36.939998626708984	214.0399932861328	25.0	95.37999725341797	124.76000213623047	287.6300048828125	111.26000213623047	10.329999923706055	196.8800048828125	29.610000610351562
2022-02-07	907.3400268554688	4483.8701171875	14.90999984741211	58.36000061035156	26.969999313354492	36.86000061035156	28.6299991607666	7.71999979019165	17.889999389648438	50.709999084472656	36.040000915527344	211.2899932861328	25.149999618530273	95.7300033569336	125.08999633789062	285.1499938964844	111.12000274658203	10.359999656677246	197.24000549316406	29.549999237060547
